Product Name,Product URL,Product Price,Product Rating,Product Reviews
Mens Sx0406g Running Shoes,https://www.amazon.in/Sparx-SM-666-Running-Shoe-9-SX0666GNBRD0009/dp/B08PZ6V6J9/ref=sr_1_55?keywords=men+sports+shoes&qid=1685080856&sr=8-55,"₹1,199",4.1 out of 5 stars,"2,590"
Men's Synthetic Running Shoes,https://www.amazon.in/Sparx-SM-171-Black-Green-Sports/dp/B083BX53HQ/ref=sr_1_56?keywords=men+sports+shoes&qid=1685080856&sr=8-56,"₹1,567",4.0 out of 5 stars,"6,372"
"Men's Express-08 Sports Running,Walking,Gym,Training,Casual Sneaker Lace-Up Lightweight Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYnRmOjIwMTQ2NTY3OTA4MDk4OjowOjo&url=%2FASIAN-Express-08-Running-Training-Numeric_7%2Fdp%2FB09RKJ51TF%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹749,3.7 out of 5 stars,"1,714"
"Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYnRmOjIwMTQ2NTQ2MTYzMzk4OjowOjo&url=%2FASIAN-INNOVA-04-Running-Sneaker-Technology%2Fdp%2FB09X5WQGJB%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,099",3.7 out of 5 stars,886
"Men's Creta-12 Men's Running Shoes with Breathable Knitted Upper | Gym,Training, Running Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYnRmOjIwMTQyNTY1OTk1NDk4OjowOjo&url=%2FASIAN-Creta-12-Lightgrey-Walking-Training%2Fdp%2FB096SPCGJ3%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹749,3.7 out of 5 stars,"13,375"
"Men's STUSSYY Comfortable, Walking, Stylish, Gym, Training, Sneakers, Running Shoe",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYnRmOjIwMTI5NDA3MTE3NTk4OjowOjo&url=%2FOFF-LIMITS-STUSSYY-Memory-Running%2Fdp%2FB0B42Z98YT%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,890",3.5 out of 5 stars,57
"Men's SHOCKER-01 Sports Running,Walking,Gym Shoes with Lightweight Phylon Sole with Memory Foam Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjMxNDY4MjYyNjc3MTM3OjE2ODUwODA4NjY6c3BfYXRmX25leHQ6MjAxNDY2MDY4NTUyOTg6OjA6Og&url=%2FASIAN-SHOCKER-01-Running-Walking-Lightweight%2Fdp%2FB0C27MYCFX%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080866%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹1,399",5.0 out of 5 stars,4
"Men's Cosco-13 Sports Running,Walking & Gym, School Shoes Lightweight Eva Sole Extra Jump Casual Sneaker Lace-Up Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjMxNDY4MjYyNjc3MTM3OjE2ODUwODA4NjY6c3BfYXRmX25leHQ6MjAxNDY1Njc5MDgxOTg6OjA6Og&url=%2FASIAN-Wonder-13-Running-Walking-Lightweight%2Fdp%2FB0BC22BSMP%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080866%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹649,3.8 out of 5 stars,"3,629"
"Men's ZIGZAG-01 Sport Running,Walking,Gym Shoes with Cushioning Material,Extra Jump Lightweight Shoes TPR Outsole with Memory Foam Insole Casual Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjMxNDY4MjYyNjc3MTM3OjE2ODUwODA4NjY6c3BfYXRmX25leHQ6MjAxNDY2MDY4NTQ4OTg6OjA6Og&url=%2FASIAN-ZIGZAG-01-Cushioning-Material-Lightweight%2Fdp%2FB0C16Y5T74%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080866%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹1,149",4.1 out of 5 stars,8
"Men's Newton-01 Sports Running Shoes Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjMxNDY4MjYyNjc3MTM3OjE2ODUwODA4NjY6c3BfYXRmX25leHQ6MjAwNzU4MTMxMDEyOTg6OjA6Og&url=%2FASIAN-Newton-01-Running-Sneakers-Lightweight%2Fdp%2FB0B3VLCYDL%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080866%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹635,3.5 out of 5 stars,155
